WBodyID,WaterBodyName,DataSource,StationID,StationName,Actual_StationID,Actual_Latitude,Actual_Longitude,DEP_WBID,SampleDate,ActivityDepth,DepthUnits,Parameter,Characteristic,Sample_Fraction,Result_Value,Result_Unit,QACode,Result_Comment,Original_Result_Value,Original_Result_Unit
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,3/18/2005 0:00,0.5,m,TN_mgl,Nitrogen,Total,1.32,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,3/18/2005 0:00,0.5,m,TP_mgl,Phosphorus as P,Total,0.14,mg/l,,,0.14,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,3/19/2005 0:00,0.5,m,TP_mgl,Phosphorus as P,Total,0.12,mg/l,,,0.12,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,3/19/2005 0:00,0.5,m,TN_mgl,Nitrogen,Total,1.13,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,3/20/2005 0:00,0.5,m,TN_mgl,Nitrogen,Total,1.31,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,3/20/2005 0:00,0.5,m,TP_mgl,Phosphorus as P,Total,0.1,mg/l,,,0.1,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,3/21/2005 0:00,0.5,m,TP_mgl,Phosphorus as P,Total,0.11,mg/l,,,0.11,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,3/21/2005 0:00,0.5,m,TN_mgl,Nitrogen,Total,1.13,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,4/7/2005 0:00,0.5,m,TP_mgl,Phosphorus as P,Total,0.037,mg/l,I,"The value is less than, or equal to, the laborator",0.037,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,4/7/2005 0:00,0.5,m,TN_mgl,Nitrogen,Total,0.693,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,5/31/2005 0:00,0.5,m,TN_mgl,Nitrogen,Total,1.36,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,5/31/2005 0:00,0.5,m,TP_mgl,Phosphorus as P,Total,0.13,mg/l,,,0.13,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,6/16/2005 0:00,0.5,m,TP_mgl,Phosphorus as P,Total,0.27,mg/l,,,0.27,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,6/16/2005 0:00,0.5,m,TN_mgl,Nitrogen,Total,0.75,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,7/8/2005 0:00,0.5,m,TN_mgl,Nitrogen,Total,1.47,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,7/8/2005 0:00,0.5,m,TP_mgl,Phosphorus as P,Total,0.14,mg/l,,,0.14,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,8/17/2005 0:00,0.5,m,TP_mgl,Phosphorus as P,Total,0.13,mg/l,,,0.13,mg/l
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,8/17/2005 0:00,0.5,m,TN_mgl,Nitrogen,Total,1.28,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,9/29/2005 0:00,0.5,m,TN_mgl,Nitrogen,Total,1.09,mg/l,,Water Institute Calculated: TKN + NOx,,
9000108,Lower Tidal Caloosahatchee River,STORET_21FLEECO,DEEPGR10, DEEP LAGOON- McGregor Blvd.,DEEPGR10,26.5393196,-81.9188003,3240A,9/29/2005 0:00,0.5,m,TP_mgl,Phosphorus as P,Total,0.12,mg/l,,,0.12,mg/l
